# MUV Phi err_m err_p initial_comoving_distance delta_Muv
-2.442000000000e+01 5.000000000000e-10 5.156352468436e-10 2.558582094838e-09 8.650603629653e+03 5.000000000000e-01
-2.392000000000e+01 1.310000000000e-08 1.329150919416e-08 2.495962795240e-08 8.650603629653e+03 5.000000000000e-01
-2.342000000000e+01 4.390000000000e-08 4.434903922878e-08 6.081576677842e-08 8.650603629653e+03 5.000000000000e-01
-2.292000000000e+01 1.830000000000e-07 1.845240692591e-07 3.650148255289e-07 8.650603629653e+03 5.000000000000e-01
-2.242000000000e+01 1.060000000000e-06 1.067566503199e-06 1.208565852678e-06 8.650603629653e+03 5.000000000000e-01
-2.192000000000e+01 2.750000000000e-06 2.565967838994e-06 2.787345456476e-06 8.650603629653e+03 5.000000000000e-01
-2.219000000000e+01 1.000000000000e-06 2.415800000000e-06 2.415800000000e-06 8.627602323222e+03 5.000000000000e-01
-2.169000000000e+01 4.100000000000e-05 1.282270000000e-05 1.282270000000e-05 8.627602323222e+03 5.000000000000e-01
-2.119000000000e+01 4.700000000000e-05 1.710450000000e-05 1.710450000000e-05 8.627602323222e+03 5.000000000000e-01
-2.069000000000e+01 1.980000000000e-04 4.038840000000e-05 4.038840000000e-05 8.627602323222e+03 5.000000000000e-01
-2.019000000000e+01 2.830000000000e-04 7.309500000000e-05 7.309500000000e-05 8.627602323222e+03 5.000000000000e-01
-1.969000000000e+01 5.890000000000e-04 1.380708000000e-04 1.380708000000e-04 8.627602323222e+03 5.000000000000e-01
-1.919000000000e+01 1.172000000000e-03 3.649632000000e-04 3.649632000000e-04 8.627602323222e+03 5.000000000000e-01
-1.869000000000e+01 1.433000000000e-03 4.518915000000e-04 4.518915000000e-04 8.627602323222e+03 5.000000000000e-01
-1.794000000000e+01 5.760000000000e-03 1.540368000000e-03 1.540368000000e-03 8.627602323222e+03 5.000000000000e-01
-1.694000000000e+01 8.320000000000e-03 3.077480000000e-03 3.077480000000e-03 8.627602323222e+03 1.000000000000e+00
-1.875000000000e+01 1.400000000000e-03 5.000000000000e-04 5.000000000000e-04 8.627602323222e+03 5.000000000000e-01
-1.825000000000e+01 1.900000000000e-03 6.000000000000e-04 6.000000000000e-04 8.627602323222e+03 5.000000000000e-01
-1.775000000000e+01 2.700000000000e-03 8.000000000000e-04 8.000000000000e-04 8.627602323222e+03 5.000000000000e-01
-1.725000000000e+01 9.000000000000e-03 1.800000000000e-03 2.100000000000e-03 8.627602323222e+03 5.000000000000e-01
-1.675000000000e+01 1.300000000000e-02 3.000000000000e-03 5.000000000000e-03 8.627602323222e+03 5.000000000000e-01
-1.625000000000e+01 1.300000000000e-02 4.000000000000e-03 7.000000000000e-03 8.627602323222e+03 5.000000000000e-01
-1.575000000000e+01 2.500000000000e-02 9.000000000000e-03 1.900000000000e-02 8.627602323222e+03 5.000000000000e-01
-1.525000000000e+01 3.000000000000e-02 1.500000000000e-02 3.200000000000e-02 8.627602323222e+03 5.000000000000e-01
-1.475000000000e+01 3.700000000000e-02 2.500000000000e-02 5.400000000000e-02 8.627602323222e+03 5.000000000000e-01
-1.425000000000e+01 9.800000000000e-02 6.300000000000e-02 1.560000000000e-01 8.627602323222e+03 5.000000000000e-01
-1.375000000000e+01 8.200000000000e-02 6.600000000000e-02 2.120000000000e-01 8.627602323222e+03 5.000000000000e-01
