# MUV Phi err_m err_p initial_comoving_distance delta_Muv
-1.675000000000e+01 9.400000000000e-03 4.700000000000e-03 6.200000000000e-03 7.170366414463e+03 5.000000000000e-01
-1.625000000000e+01 3.000000000000e-02 1.200000000000e-02 2.000000000000e-02 7.170366414463e+03 5.000000000000e-01
-1.575000000000e+01 6.300000000000e-02 2.600000000000e-02 5.100000000000e-02 7.170366414463e+03 5.000000000000e-01
-1.525000000000e+01 9.000000000000e-02 4.500000000000e-02 9.500000000000e-02 7.170366414463e+03 5.000000000000e-01
-1.375000000000e+01 9.300000000000e-01 7.400000000000e-01 2.200000000000e+00 7.170366414463e+03 5.000000000000e-01
-2.439000000000e+01 1.110000000000e-08 1.128859381550e-08 2.786553788691e-08 7.195716171517e+03 3.000000000000e-01
-2.409000000000e+01 4.300000000000e-08 4.360149515820e-08 5.729033666136e-08 7.195716171517e+03 3.000000000000e-01
-2.379000000000e+01 9.220000000000e-08 9.327035617528e-08 9.428196524443e-08 7.195716171517e+03 3.000000000000e-01
-2.349000000000e+01 2.170000000000e-07 1.847774598322e-07 1.847774598322e-07 7.195716171517e+03 3.000000000000e-01
-2.319000000000e+01 3.630000000000e-07 2.318849895782e-07 2.318849895782e-07 7.195716171517e+03 3.000000000000e-01
-2.289000000000e+01 8.070000000000e-07 4.309868215863e-07 4.309868215863e-07 7.195716171517e+03 3.000000000000e-01
-2.264000000000e+01 1.970000000000e-06 9.256572123605e-07 9.256572123605e-07 7.195716171517e+03 2.500000000000e-01
-2.244000000000e+01 5.670000000000e-06 2.021228671174e-06 2.021228671174e-06 7.195716171517e+03 2.000000000000e-01
-2.229000000000e+01 9.240000000000e-06 4.121385152475e-06 4.121385152475e-06 7.195716171517e+03 1.500000000000e-01
-2.219000000000e+01 1.530000000000e-05 6.130442010942e-06 6.130442010942e-06 7.195716171517e+03 1.000000000000e-01
-2.209000000000e+01 1.890000000000e-05 6.832513983995e-06 6.832513983995e-06 7.195716171517e+03 1.000000000000e-01
-2.199000000000e+01 2.750000000000e-05 9.242202356093e-06 9.242202356093e-06 7.195716171517e+03 1.000000000000e-01
-2.189000000000e+01 3.660000000000e-05 1.134979553141e-05 1.134979553141e-05 7.195716171517e+03 1.000000000000e-01
-2.179000000000e+01 5.440000000000e-05 1.586697771091e-05 1.586697771091e-05 7.195716171517e+03 1.000000000000e-01
-2.169000000000e+01 7.380000000000e-05 1.897717447031e-05 1.897717447031e-05 7.195716171517e+03 1.000000000000e-01
-2.159000000000e+01 1.030000000000e-04 2.309058190459e-05 2.309058190459e-05 7.195716171517e+03 1.000000000000e-01
-2.149000000000e+01 1.280000000000e-04 2.609889590417e-05 2.609889590417e-05 7.195716171517e+03 1.000000000000e-01
-2.139000000000e+01 1.820000000000e-04 3.412505577681e-05 3.412505577681e-05 7.195716171517e+03 1.000000000000e-01
-2.129000000000e+01 2.230000000000e-04 3.813532579334e-05 3.813532579334e-05 7.195716171517e+03 1.000000000000e-01
-2.119000000000e+01 2.920000000000e-04 4.916915255278e-05 4.916915255278e-05 7.195716171517e+03 1.000000000000e-01
-2.109000000000e+01 3.860000000000e-04 6.722445343725e-05 6.722445343725e-05 7.195716171517e+03 1.000000000000e-01
-2.099000000000e+01 4.580000000000e-04 8.126361440675e-05 8.126361440675e-05 7.195716171517e+03 1.000000000000e-01
-2.089000000000e+01 5.160000000000e-04 9.329433561832e-05 9.329433561832e-05 7.195716171517e+03 1.000000000000e-01
-2.079000000000e+01 6.350000000000e-04 1.163573745136e-04 1.163573745136e-04 7.195716171517e+03 1.000000000000e-01
-2.069000000000e+01 8.150000000000e-04 1.514532692166e-04 1.514532692166e-04 7.195716171517e+03 1.000000000000e-01
-2.059000000000e+01 9.080000000000e-04 1.725034778791e-04 1.725034778791e-04 7.195716171517e+03 1.000000000000e-01
-2.049000000000e+01 1.030000000000e-03 2.005713701185e-04 2.005713701185e-04 7.195716171517e+03 1.000000000000e-01
-2.039000000000e+01 1.190000000000e-03 2.406696908481e-04 2.406696908481e-04 7.195716171517e+03 1.000000000000e-01
-2.029000000000e+01 1.460000000000e-03 3.108454677721e-04 3.108454677721e-04 7.195716171517e+03 1.000000000000e-01
-2.019000000000e+01 1.590000000000e-03 3.609602931336e-04 3.609602931336e-04 7.195716171517e+03 1.000000000000e-01
-2.009000000000e+01 1.780000000000e-03 4.411486723313e-04 4.411486723313e-04 7.195716171517e+03 1.000000000000e-01
-1.999000000000e+01 2.020000000000e-03 5.413805052655e-04 5.413805052655e-04 7.195716171517e+03 1.000000000000e-01
-2.287500000000e+01 3.118000000000e-06 3.880000000000e-07 3.880000000000e-07 7.170366414463e+03 2.500000000000e-01
-2.262500000000e+01 6.534000000000e-06 5.710000000000e-07 5.710000000000e-07 7.170366414463e+03 2.500000000000e-01
-2.237500000000e+01 1.607300000000e-05 9.920000000000e-07 9.920000000000e-07 7.170366414463e+03 2.500000000000e-01
-2.212500000000e+01 3.371700000000e-05 1.667000000000e-06 1.667000000000e-06 7.170366414463e+03 2.500000000000e-01
-2.187500000000e+01 8.092000000000e-05 3.369000000000e-06 3.369000000000e-06 7.170366414463e+03 2.500000000000e-01
-2.162500000000e+01 1.495340000000e-04 5.788000000000e-06 5.788000000000e-06 7.170366414463e+03 2.500000000000e-01
-2.137500000000e+01 2.103490000000e-04 9.054000000000e-06 9.054000000000e-06 7.170366414463e+03 2.500000000000e-01
-2.112500000000e+01 3.236440000000e-04 1.357700000000e-05 1.357700000000e-05 7.170366414463e+03 2.500000000000e-01
-2.087500000000e+01 5.096350000000e-04 2.369500000000e-05 2.369500000000e-05 7.170366414463e+03 2.500000000000e-01
-2.062500000000e+01 7.251330000000e-04 3.338100000000e-05 3.338100000000e-05 7.170366414463e+03 2.500000000000e-01
-2.037500000000e+01 9.971000000000e-04 4.560900000000e-05 4.560900000000e-05 7.170366414463e+03 2.500000000000e-01
-2.012500000000e+01 1.186940000000e-03 5.420000000000e-05 5.420000000000e-05 7.170366414463e+03 2.500000000000e-01
