# MUV Phi err_m err_p initial_comoving_distance delta_Muv
-2.269000000000e+01 5.000000000000e-06 5.148400000000e-06 5.148400000000e-06 7.170366414463e+03 5.000000000000e-01
-2.219000000000e+01 1.500000000000e-05 1.158390000000e-05 1.158390000000e-05 7.170366414463e+03 5.000000000000e-01
-2.169000000000e+01 1.440000000000e-04 2.702260000000e-05 2.702260000000e-05 7.170366414463e+03 5.000000000000e-01
-2.119000000000e+01 3.440000000000e-04 4.501860000000e-05 4.501860000000e-05 7.170366414463e+03 5.000000000000e-01
-2.069000000000e+01 6.980000000000e-04 7.837000000000e-05 7.837000000000e-05 7.170366414463e+03 5.000000000000e-01
-2.019000000000e+01 1.624000000000e-03 1.479252000000e-04 1.479252000000e-04 7.170366414463e+03 5.000000000000e-01
-1.969000000000e+01 2.276000000000e-03 2.210691000000e-04 2.210691000000e-04 7.170366414463e+03 5.000000000000e-01
-1.919000000000e+01 3.056000000000e-03 4.261792000000e-04 4.261792000000e-04 7.170366414463e+03 5.000000000000e-01
-1.869000000000e+01 4.371000000000e-03 7.497698000000e-04 7.497698000000e-04 7.170366414463e+03 5.000000000000e-01
-1.794000000000e+01 1.016000000000e-02 9.899200000000e-04 9.899200000000e-04 7.170366414463e+03 7.500000000000e-01
-1.694000000000e+01 2.742000000000e-02 3.659472000000e-03 3.659472000000e-03 7.170366414463e+03 1.000000000000e+00
-1.594000000000e+01 2.882000000000e-02 9.218078000000e-03 9.218078000000e-03 7.170366414463e+03 1.000000000000e+00
-1.875000000000e+01 5.000000000000e-03 1.700000000000e-03 1.700000000000e-03 7.170366414463e+03 5.000000000000e-01
-1.825000000000e+01 7.500000000000e-03 2.100000000000e-03 2.100000000000e-03 7.170366414463e+03 5.000000000000e-01
-1.775000000000e+01 1.100000000000e-02 3.000000000000e-03 3.000000000000e-03 7.170366414463e+03 5.000000000000e-01
-1.725000000000e+01 2.500000000000e-02 5.000000000000e-03 6.000000000000e-03 7.170366414463e+03 5.000000000000e-01
