# MUV Phi err_m err_p initial_comoving_distance delta_Muv
-2.402000000000e+01 6.000000000000e-09 6.126677938017e-09 1.016007424721e-08 8.270570525859e+03 5.000000000000e-01
-2.352000000000e+01 3.760000000000e-08 2.075495412352e-08 3.006937255944e-08 8.270570525859e+03 5.000000000000e-01
-2.312000000000e+01 1.800000000000e-07 1.099942179327e-07 1.099942179327e-07 8.270570525859e+03 4.000000000000e-01
-2.282000000000e+01 7.590000000000e-07 4.171881423290e-07 4.171881423290e-07 8.270570525859e+03 3.000000000000e-01
-2.252000000000e+01 1.810000000000e-06 9.664748115317e-07 9.664748115317e-07 8.270570525859e+03 3.000000000000e-01
-2.222000000000e+01 3.460000000000e-06 1.790764790641e-06 1.790764790641e-06 8.270570525859e+03 3.000000000000e-01
-2.192000000000e+01 9.850000000000e-06 4.846538346904e-06 4.846538346904e-06 8.270570525859e+03 3.000000000000e-01
-2.162000000000e+01 3.550000000000e-05 1.809115340400e-05 1.809115340400e-05 8.270570525859e+03 3.000000000000e-01
-2.132000000000e+01 7.350000000000e-05 4.068999205767e-05 4.068999205767e-05 8.270570525859e+03 3.000000000000e-01
-2.102000000000e+01 1.770000000000e-04 1.225329535114e-04 1.225329535114e-04 8.270570525859e+03 3.000000000000e-01
-2.252000000000e+01 2.000000000000e-06 2.484600000000e-06 2.484600000000e-06 8.246920028245e+03 5.000000000000e-01
-2.202000000000e+01 1.400000000000e-05 5.946000000000e-06 5.946000000000e-06 8.246920028245e+03 5.000000000000e-01
-2.152000000000e+01 5.100000000000e-05 1.266210000000e-05 1.266210000000e-05 8.246920028245e+03 5.000000000000e-01
-2.102000000000e+01 1.690000000000e-04 2.700240000000e-05 2.700240000000e-05 8.246920028245e+03 5.000000000000e-01
-2.052000000000e+01 3.170000000000e-04 4.535830000000e-05 4.535830000000e-05 8.246920028245e+03 5.000000000000e-01
-2.002000000000e+01 7.240000000000e-04 9.508230000000e-05 9.508230000000e-05 8.246920028245e+03 5.000000000000e-01
-1.952000000000e+01 1.147000000000e-03 1.699368000000e-04 1.699368000000e-04 8.246920028245e+03 5.000000000000e-01
-1.877000000000e+01 2.820000000000e-03 4.711960000000e-04 4.711960000000e-04 8.246920028245e+03 7.500000000000e-01
-1.777000000000e+01 8.360000000000e-03 1.759268000000e-03 1.759268000000e-03 8.246920028245e+03 1.000000000000e+00
-1.677000000000e+01 1.710000000000e-02 5.532468000000e-03 5.532468000000e-03 8.246920028245e+03 1.000000000000e+00
-1.875000000000e+01 2.900000000000e-03 7.000000000000e-04 7.000000000000e-04 8.246920028245e+03 5.000000000000e-01
-1.825000000000e+01 5.100000000000e-03 1.000000000000e-03 1.000000000000e-03 8.246920028245e+03 5.000000000000e-01
-1.775000000000e+01 9.600000000000e-03 1.500000000000e-03 1.500000000000e-03 8.246920028245e+03 5.000000000000e-01
-1.725000000000e+01 9.200000000000e-03 1.700000000000e-03 2.100000000000e-03 8.246920028245e+03 5.000000000000e-01
-1.675000000000e+01 1.400000000000e-02 3.000000000000e-03 4.000000000000e-03 8.246920028245e+03 5.000000000000e-01
-1.625000000000e+01 1.400000000000e-02 4.000000000000e-03 7.000000000000e-03 8.246920028245e+03 5.000000000000e-01
-1.575000000000e+01 1.900000000000e-02 6.000000000000e-03 1.300000000000e-02 8.246920028245e+03 5.000000000000e-01
-1.525000000000e+01 5.900000000000e-02 1.700000000000e-02 4.500000000000e-02 8.246920028245e+03 5.000000000000e-01
-1.475000000000e+01 8.700000000000e-02 3.200000000000e-02 8.700000000000e-02 8.246920028245e+03 5.000000000000e-01
-1.425000000000e+01 8.500000000000e-02 4.800000000000e-02 1.240000000000e-01 8.246920028245e+03 5.000000000000e-01
-1.375000000000e+01 1.300000000000e-01 9.000000000000e-02 2.400000000000e-01 8.246920028245e+03 5.000000000000e-01
-1.325000000000e+01 3.200000000000e-01 2.200000000000e-01 6.600000000000e-01 8.246920028245e+03 5.000000000000e-01
